ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0000945621-22-000331	YES	101	0001754975	RSF Partners, LP	108 WEBSTER BUILDING	3411 SILVERSIDE ROAD	WILMINGTON	DE	DELAWARE	19810	267.295.2280	DELAWARE							Limited Partnership		withinFiveYears	2018
0001104659-22-104671	YES	101	0001901037	Stellus Private Credit BDC	4400 POST OAK PARKWAY	SUITE 2200	HOUSTON	TX	TEXAS	77027	7132925414	DELAWARE							Business Trust		withinFiveYears	2021
0001949182-22-000002	YES	101	0001949182	PA Fund I, a series of SKU'D Ventures, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0001946549-22-000002	YES	101	0001947592	Gaingels Webee LLC	3 MAIN STREET	SUITE 214	BURLINGTON	VT	VERMONT	05401	2124047343	VERMONT							Limited Liability Company		withinFiveYears	2022
0000919574-22-005744	YES	101	0001884859	KLCP Offshore Fund III LP	MAPLES CORPORATE SERVICES LIMITED	UGLAND HOUSE	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	212-782-3482	CAYMAN ISLANDS							Limited Partnership		withinFiveYears	2021
0001873986-22-000005	YES	101	0001874053	ETHOS CAPITAL INVESTMENTS B LP	126 NEWBURY STREET, 5TH FLOOR		BOSTON	MA	MASSACHUSETTS	02116	(617) 880-8000	DELAWARE							Limited Partnership		withinFiveYears	2021
0001873986-22-000004	YES	101	0001873999	ETHOS CAPITAL INVESTMENTS A LP	126 NEWBURY STREET, 5TH FLOOR		BOSTON	MA	MASSACHUSETTS	02116	(617) 880-8000	DELAWARE							Limited Partnership		withinFiveYears	2021
0001873986-22-000003	YES	101	0001873986	ETHOS CAPITAL INVESTMENTS LP	126 NEWBURY STREET, 5TH FLOOR		BOSTON	MA	MASSACHUSETTS	02116	(617) 880-8000	DELAWARE							Limited Partnership		withinFiveYears	2021
0001949065-22-000002	YES	101	0001949065	Limble Solutions, Inc.	3290 W MAYFLOWER AVE		LEHI	UT	UTAH	84043	(801) 851-1218	DELAWARE	Limble Solutions, LLC						Corporation		withinFiveYears	2021
0000919574-22-005742	YES	101	0001884824	KLCP Domestic Fund III LP	111 WEST 33RD STREET, SUITE 1910		NEW YORK	NY	NEW YORK	10120	212-782-3482	DELAWARE							Limited Partnership		withinFiveYears	2021
0001896403-22-000001	YES	101	0001896403	Industry Ventures Direct III, L.P.	522 WASHINGTON STREET		SAN FRANCISCO	CA	CALIFORNIA	94111	415-273-4201	DELAWARE							Limited Partnership		withinFiveYears	2021
0001949139-22-000001	YES	101	0001949139	Diant Pharma Inc.	130 UTOPIA RD. STE 12		MANCHESTER	CT	CONNECTICUT	06042	774-462-2227	DELAWARE							Corporation		withinFiveYears	2019
0001942032-22-000001	YES	101	0001942032	XPV WATER EXTENDED VALUE FUND LP	130 KING ST W, SUITE 1800		TORONTO	A6	ONTARIO, CANADA	M5X 1E3	(416) 864-0475	DELAWARE							Limited Partnership		withinFiveYears	2022
0001944073-22-000001	YES	101	0001944073	Quantum Kinetics Corp	3710 168TH STREET NE	SUITE B209	ARLINGTON	WA	WASHINGTON	98283	360-631-6842	WASHINGTON							Corporation		withinFiveYears	2018
0001946549-22-000001	YES	101	0001946549	Gaingels Contraline LLC	3 MAIN STREET	SUITE 214	BURLINGTON	VT	VERMONT	05401	2124047343	VERMONT							Limited Liability Company		withinFiveYears	2022
0001948983-22-000002	YES	101	0001948983	Fund I, a series of Laird Ventures, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0001636220-22-000001	YES	101	0001636220	DimensionalMechanics, Inc.	2018 156th Ave NE Building F Suite 119	SUITE 200	Bellevue	WA	WASHINGTON	98007	4252027298	DELAWARE							Corporation		overFiveYears	
0000919574-22-005740	YES	101	0001884834	KLCP ERISA Fund E III LP	111 WEST 33RD STREET, SUITE 1910		NEW YORK	NY	NEW YORK	10120	212-782-3482	DELAWARE							Limited Partnership		withinFiveYears	2021
0001755755-22-000005	YES	101	0001755756	VINEBROOK HOMES OPERATING PARTNERSHIP, L.P.	300 CRESCENT COURT	SUITE 700	DALLAS	TX	TEXAS	75201	214-276-6300	DELAWARE							Limited Partnership		withinFiveYears	2018
0001878726-22-000004	YES	101	0001878726	Untapped Ventures - Fund I, a Series of Untapped Master LLC	2362 Eastgate Pl.		Glendale	CA	CALIFORNIA	91208	(818) 281-2812	DELAWARE							Limited Liability Company		withinFiveYears	2021
0001755755-22-000004	YES	101	0001755756	VINEBROOK HOMES OPERATING PARTNERSHIP, L.P.	300 CRESCENT COURT	SUITE 700	DALLAS	TX	TEXAS	75201	214-276-6300	DELAWARE							Limited Partnership		withinFiveYears	2018
0001946315-22-000003	YES	101	0001946315	Exokinetics, Inc.	19 HAGERTY BOULEVARD		WEST CHESTER	PA	PENNSYLVANIA	19382	610-222-5950	DELAWARE							Corporation		overFiveYears	
0001932107-22-000001	YES	101	0001932107	Frontier Commerce Fund IV, a Series of DFS Lab Digital Economy Fund, LLC	7274 Traces Drive		Helena	OR	OREGON	59602	(917) 324-5987	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001755755-22-000003	YES	101	0001755756	VINEBROOK HOMES OPERATING PARTNERSHIP, L.P.	300 CRESCENT COURT	SUITE 700	DALLAS	TX	TEXAS	75201	214-276-6300	DELAWARE							Limited Partnership		withinFiveYears	2018
0001946407-22-000001	YES	101	0001946407	Wasatch Project Partners LLC	124 South 400 East	Suite #310	Salt Lake City	UT	UTAH	84111	(801) 419-0677	UTAH							Limited Liability Company		withinFiveYears	2022
0001755755-22-000002	YES	101	0001755755	VINEBROOK HOMES TRUST, INC.	300 CRESCENT COURT	SUITE 700	DALLAS	TX	TEXAS	75201	214-276-6300	MARYLAND							Corporation		withinFiveYears	2018
0001755755-22-000001	YES	101	0001755755	VINEBROOK HOMES TRUST, INC.	300 CRESCENT COURT	SUITE 700	DALLAS	TX	TEXAS	75201	214-276-6300	MARYLAND							Corporation		withinFiveYears	2018
0001635434-22-000003	YES	101	0001635434	Hickory Street Capital LLC	3721 North Clark Street		CHICAGO	IL	ILLINOIS	60613	773-528-1312	DELAWARE							Limited Liability Company		overFiveYears	
0001948988-22-000002	YES	101	0001948988	Fund I, a series of Tunitas Ventures, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0001013594-22-000619	YES	101	0001946387	Elliott Metron Co-Investor Aggregator L.P.	360 S. ROSEMARY AVE	18TH FLOOR	WEST PALM BEACH	FL	FLORIDA	33401	212-974-6000	DELAWARE							Limited Partnership		withinFiveYears	2022
0001905940-22-000002	YES	101	0001905940	Recovery Education & Applied Learning, LLC	46 MAIN STREET		NEW CANAAN	CT	CONNECTICUT	06840	203-246-1822	CONNECTICUT							Limited Liability Company		withinFiveYears	2021
0001949197-22-000001	YES	101	0001949197	Juniper Valley Capital LLC	457 WINDSOR PLACE		OCEANSIDE	NY	NEW YORK	11572	516-477-1951	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001885305-22-000001	YES	101	0001885305	Whitehorse Liquidity Partners V LP	TD SOUTH TOWER	79 WELLINGTON ST. W, STE 2100, PO BOX 92	TORONTO	A6	ONTARIO, CANADA	M5K 1G8	647-925-1321	DELAWARE							Limited Partnership		withinFiveYears	2021
0001635420-22-000003	YES	101	0001635420	Northside Entertainment Holdings, LLC	1101 W. Waveland Ave		Chicago	IL	ILLINOIS	60613	773-404-2827	DELAWARE	Ricketts Acquisition LLC						Limited Liability Company		overFiveYears	
0001898603-22-000002	YES	101	0001898603	Lerer Hippeau VIII, LP	100 CROSBY STREET, SUITE 201		NEW YORK	NY	NEW YORK	10012	(646) 237- 4837	DELAWARE							Limited Partnership		withinFiveYears	2021
0001885306-22-000001	YES	101	0001885306	Whitehorse Liquidity Partners (Offshore) V LP	TD SOUTH TOWER	79 WELLINGTON ST. W, STE 2100, PO BOX 92	TORONTO	A6	ONTARIO, CANADA	M5K 1G8	647-925-1321	ONTARIO, CANADA							Limited Partnership		withinFiveYears	2021
0001946886-22-000001	YES	101	0001946886	TTC GLOBAL FUND I, L.P.	2171 JACKSON STREET		SAN FRANCISCO	CA	CALIFORNIA	94115	415-412-6805	DELAWARE							Limited Partnership		withinFiveYears	2022
0001949188-22-000002	YES	101	0001949188	BL2 Fund I, a series of Roll Up Vehicles, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0001750227-22-000001	YES	101	0001750227	Center Lake Capital, Ltd.	452 FIFTH AVENUE	14TH FLOOR	NEW YORK	NY	NEW YORK	10018	(212) 390-8839	CAYMAN ISLANDS							Other	Cayman Islands Exempted Company	withinFiveYears	2018
0001898609-22-000002	YES	101	0001898609	Lerer Hippeau Select Fund IV, LP	100 CROSBY STREET, SUITE 201		NEW YORK	NY	NEW YORK	10012	(646) 237- 4837	DELAWARE							Limited Partnership		withinFiveYears	2021
0001941234-22-000001	YES	101	0001941234	Conviction Partners Fund I, L.P.	548 MARKET STREET, #20958		SAN FRANCISCO	CA	CALIFORNIA	94104	415-523-5532	DELAWARE							Limited Partnership		withinFiveYears	2022
0001627589-22-000001	YES	101	0001627589	Center Lake Capital, L.P.	452 FIFTH AVENUE	14TH FLOOR	NEW YORK	NY	NEW YORK	10018	212-390-8839	DELAWARE							Limited Partnership		overFiveYears	
0001907654-22-000002	YES	101	0001907654	Surefire Cyber Inc.	8 MILTON AVENUE		SUMMIT	NJ	NEW JERSEY	07901	(301)938-1542	DELAWARE							Corporation		withinFiveYears	2021
0000919574-22-005738	YES	101	0001946625	NovoPayment Holdings, Inc.	3250 MARY STREET	SUITE 103	MIAMI	FL	FLORIDA	33133	(305) 372-8695	DELAWARE							Corporation		withinFiveYears	2021
0001919411-22-000001	YES	101	0001919411	Sofi Elite III Joint Venture	1880 W PROSPER TRAIL		PROSPER	TX	TEXAS	75078	4698020332	TEXAS							General Partnership		withinFiveYears	2022
0001919595-22-000001	YES	101	0001919595	Olive Capital II, L.P.	163 FAIR OAKS LANE		ATHERTON	CA	CALIFORNIA	94027	978-760-9568	DELAWARE							Limited Partnership		withinFiveYears	2022
0000919574-22-005736	YES	101	0001814535	First Eagle Global Equity Fund, LP	C/O FIRST EAGLE INVESTMENT MANAGEMENT	1345 AVENUE OF THE AMERICAS, 48TH FLOOR	NEW YORK	NY	NEW YORK	10105	212-698-3300	DELAWARE							Limited Partnership		withinFiveYears	2020
0000902664-22-004405	YES	101	0001430825	Starboard Value & Opportunity Fund LP	C/O STARBOARD VALUE A LP	777 THIRD AVENUE, 18TH FLOOR	NEW YORK	NY	NEW YORK	10017	(212) 845-7977	DELAWARE				Ramius Value & Opportunity Fund LP	RAMIUS VALUE & OPPORTUNITY FUND LP	STARBOARD VALUE & OPPORTUNITY PARTNERS LP	Limited Partnership		overFiveYears	
0001949185-22-000002	YES	101	0001949185	TEM Gaingels Fund I, a series of MV Funds, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0000902664-22-004404	YES	101	0001430743	Starboard Value & Opportunity Fund Ltd	C/O WALKERS CORPORATE LIMITED	CAYMAN CORPORATE CENTER, 27 HOSPITAL RD.	GEORGE TOWN, GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-9008	(345) 814-7600	CAYMAN ISLANDS				Ramius Value & Opportunity Fund Ltd	STARBOARD VALUE & OPPORTUNITY OVERSEAS FUND LTD		Corporation		overFiveYears	
0001945652-22-000001	YES	101	0001945652	TSGR II, LLC	8316 GERMANTOWN AVENUE		PHILADELPHIA	PA	PENNSYLVANIA	19118	215-287-7650	PENNSYLVANIA							Limited Liability Company		withinFiveYears	2022
0001873206-22-000002	YES	101	0001873206	Banjo Health Inc.	1050 Connecticut Avenue NW	Suite 500	Washington	DC	DISTRICT OF COLUMBIA	20036	(216) 577-9361	DELAWARE							Corporation		withinFiveYears	2019
0001949186-22-000002	YES	101	0001949186	COI Fund II, a series of Sajid Rahman Angel Funds, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0001947556-22-000001	YES	101	0001947556	MIMG CCXXI Saddlecreek, LLC	2195 N HIGHWAY 83	SUITE 14B	FRANKTOWN	CO	COLORADO	80116	3036606400	COLORADO							Limited Liability Company		withinFiveYears	2022
0001948970-22-000001	YES	101	0001948970	Spurge Technologies Quantitative Alpha Fund Onshore LP	7730 CHUMANI LANE		CINCINNATI	OH	OHIO	45243	513-257-6665	DELAWARE							Limited Partnership		withinFiveYears	2022
0000945621-22-000330	YES	101	0001479476	Riverview Global Macro Fund LP	C/O MORGAN STANLEY ALT. INVST. PARTNERS	100 FRONT STREET, SUITE 400	WEST CONSHOHOCKEN	PA	PENNSYLVANIA	19428-2881	(610) 260-7600	DELAWARE				AIP Global Macro Fund LP			Limited Partnership		overFiveYears	
0001943616-22-000001	YES	101	0001943616	Eastlake Boylston Investors LLC	8732 SAND POINT WAY NE		SEATTLE	WA	WASHINGTON	98115	2062246694	WASHINGTON							Limited Liability Company		withinFiveYears	2022
0000945621-22-000329	YES	101	0001479477	Riverview Global Macro Fund (Cayman) L.P.	C/O MORGAN STANLEY ALT. INVST. PARTNERS	100 FRONT STREET, SUITE 400	WEST CONSHOHOCKEN	PA	PENNSYLVANIA	19428-2881	(610) 260-7600	CAYMAN ISLANDS				AIP Global Macro Fund (Cayman) L.P.			Limited Partnership		overFiveYears	
0001948465-22-000001	YES	101	0001948465	Community Capital Fund, LLC / WY	1806 SUMMIT AVE, SUITE 300		RICHMOND	VA	VIRGINIA	23230	804-964-0630	WYOMING							Limited Liability Company		withinFiveYears	2022
0001785056-22-000002	YES	101	0001785056	Interactive Strength, Inc.	204 WEST SPEAR STREET, 3697		CARSON CITY	NV	NEVADA	89703	3472510928	DELAWARE							Corporation		overFiveYears	
0001567619-22-017981	YES	101	0001898967	Equity Resource Fund C 2022 LLC	C/O EQUITY RESOURCE INVESTMENTS, LLC	1280 MASSACHUSETTS AVENUE, 4TH FLOOR	CAMBRIDGE	MA	MASSACHUSETTS	02138	(617) 876 4800	DELAWARE							Limited Liability Company		withinFiveYears	2021
0001785056-22-000001	YES	101	0001785056	Interactive Strength, Inc.	204 WEST SPEAR STREET, 3697		CARSON CITY	NV	NEVADA	89703	3472510928	DELAWARE							Corporation		overFiveYears	
0001567619-22-017979	YES	101	0001898642	Equity Resource Fund B 2022 LLC	C/O EQUITY RESOURCE INVESTMENTS, LLC	1280 MASSACHUSETTS AVENUE, 4TH FLOOR	CAMBRIDGE	MA	MASSACHUSETTS	02138	(617) 876 4800	DELAWARE							Limited Liability Company		withinFiveYears	2021
0001758651-22-000001	YES	101	0001758651	NYDIG Institutional Bitcoin Fund LP	510 MADISON AVENUE, 21ST FLOOR		NEW YORK	NY	NEW YORK	10022	212-433-4400	DELAWARE				NYDIG Institutional Digital Asset Fund LP			Limited Partnership		withinFiveYears	2018
0001925363-22-000001	YES	101	0001925363	MVP ES FUND CXV LLC	11601 ALTERRA PARKWAY	SUITE 100	AUSTIN	TX	TEXAS	78758	5122121160	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001131255-22-000001	YES	101	0001131255	PROPHET BRAND STRATEGY	ONE BUSH STREET, 7TH FLOOR	SUITE 1500	SAN FRANCISCO	CA	CALIFORNIA	94104	4156670909	CALIFORNIA							Corporation		overFiveYears	
0001567619-22-017977	YES	101	0001898617	Equity Resource Fund A 2022 LLC	C/O EQUITY RESOURCE INVESTMENTS, LLC	1280 MASSACHUSETTS AVENUE, 4TH FLOOR	CAMBRIDGE	MA	MASSACHUSETTS	02138	(617) 876 4800	DELAWARE							Limited Liability Company		withinFiveYears	2021
0001873986-22-000002	YES	101	0001947288	THOMA BRAVO EMPLOYEE FUND, L.P.	150 NORTH RIVERSIDE PLAZA	SUITE 2800	CHICAGO	IL	ILLINOIS	60606	(312) 254-3300	DELAWARE							Limited Partnership		withinFiveYears	2022
0001947290-22-000001	YES	101	0001947290	BuildWise, Inc.	1494 KIMBLEWICK ROAD		POTOMAC	MD	MARYLAND	20854	352-214-9550	DELAWARE							Corporation		withinFiveYears	2022
0001949045-22-000001	YES	101	0001949045	DGC Holdings I, LLC	1081 GABLES DRIVE		PROSPER	TX	TEXAS	75078	210-232-7080	TEXAS							Limited Liability Company		withinFiveYears	2022
0001921728-22-000002	YES	101	0001921728	PAINE SCHWARTZ FOOD CHAIN FUND VI-B, L.P.	C/O PAINE SCHWARTZ PARTNERS, LLC	475 FIFTH AVENUE, 17TH FLOOR	NEW YORK	NY	NEW YORK	10017	(212) 379-7200	DELAWARE							Limited Partnership		withinFiveYears	2022
0001813406-22-000012	YES	101	0001813406	RL Investment Group LLC	19790 W DIXIE HWY	PH 1	Aventura	FL	FLORIDA	33180	3057998668	DELAWARE				RL RANCHO CA LLC			Limited Liability Company		withinFiveYears	2019
0001567619-22-017975	YES	101	0001459762	EXRO TECHNOLOGIES INC.	7853 E Ray Road		Mesa	AZ	ARIZONA	85212	6028307148	BRITISH COLUMBIA, CANADA							Corporation		overFiveYears	
0001778548-22-000001	YES	101	0001778548	Quinn Opportunities Offshore Ltd	4TH FLOOR, HARBOUR PLACE	103 SOUTH CHURCH STREET, PO BOX 10240	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1002	9177702705	CAYMAN ISLANDS							Corporation		withinFiveYears	2018
0001948189-22-000001	YES	101	0001948189	OCEAN AERO, INC.	50 EAST PIER RD.		GULFPORT	MS	MISSISSIPPI	39501	303-885-8732	DELAWARE							Corporation		overFiveYears	
0001944339-22-000002	YES	101	0001944339	LM Fund II, a series of Incisive Ventures Access Fund, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0001948938-22-000001	YES	101	0001948938	DPE Continuation Fund I geschlossene Spezial-Investment GmbH & Co. KG	LUDWIGSTRASSE 7	C/O DPE INVESTMENT GESELLSCHAFT MBH	MUNICH	2M	GERMANY	80539	49 (0)89 200038-0	GERMANY							Limited Partnership		withinFiveYears	2022
0001666726-22-000001	YES	101	0001666726	SALI Multi-Series Fund VII, L.P.	6850 AUSTIN CENTER BLVD	SUITE 300	AUSTIN	TX	TEXAS	78731	5127357254	DELAWARE							Limited Partnership		overFiveYears	
0001948997-22-000002	YES	101	0001948997	MAG Fund I, a series of Moving Capital, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
0001827097-22-000003	YES	101	0001790325	MONTEZUMA FUND V LP	C/O CRESTONE CAPITAL LLC	1048 PEARL ST, STE 450	BOULDER	CO	COLORADO	80302	303-442-4447	DELAWARE							Limited Partnership		withinFiveYears	2019
0001827097-22-000002	YES	101	0001826964	Kenosha High Yield Fund VII LP	1048 PEARL STREET	SUITE 450	BOULDER	CO	COLORADO	80302	303 442 4447	DELAWARE							Limited Partnership		withinFiveYears	2020
0001827097-22-000001	YES	101	0001827097	CC - Addition Two, L.P.	1048 PEARL STREET	SUITE 450	BOULDER	CO	COLORADO	80302	303 442 4447	DELAWARE							Limited Partnership		withinFiveYears	2020
0001860227-22-000001	YES	101	0001860227	Atalaya A4 LP	Atalaya Capital Management LP	One Rockefeller Plaza, 32nd Floor	New York	NY	NEW YORK	10020	212-201-1910	DELAWARE							Limited Partnership		withinFiveYears	2021
0001945026-22-000004	YES	101	0001945026	Newlin Ventures, LP	701 Tillery St #12	Box #130	Austin	TX	TEXAS	78702	7635161966	DELAWARE							Limited Partnership		withinFiveYears	2022
0001944462-22-000001	YES	101	0001944462	Box Wilson Equity 8, LLC	1321 UPLAND DRIVE #5051		HOUSTON	TX	TEXAS	77043	2145023578	DELAWARE	SBW Management I, LLC						Limited Liability Company		withinFiveYears	2021
0001949066-22-000001	YES	101	0001949066	Applied Ventures Innovation Fund II, L.P.	3225 OAKMEAD VILLAGE DR		SANTA CLARA	CA	CALIFORNIA	95054	408-986-3837	DELAWARE							Limited Partnership		withinFiveYears	2022
0001525853-22-000001	YES	101	0001525853	Empirical Long Short Fund, L.P.	77 Central Street		Wellesley	MA	MASSACHUSETTS	02482	781-431-2223	DELAWARE							Limited Partnership		overFiveYears	
0001362118-22-000067	YES	101	0001895366	FREEDOM 3 INVESTMENTS V, LP	12 EAST 49TH STREET	27TH FLOOR	NEW YORK	NY	NEW YORK	10017	2122352163	DELAWARE							Limited Partnership		withinFiveYears	2021
0001362118-22-000066	YES	101	0001895380	F3 INVESTMENTS V RATED FEEDER, LLC	12 EAST 49TH STREET	27TH FLOOR	NEW YORK	NY	NEW YORK	10017	2122352163	DELAWARE							Limited Liability Company		withinFiveYears	2021
0001946782-22-000001	YES	101	0001946782	Frankwood Ranch, LP	1356 SOUTH BUTTONWILLOW AVE		REEDLEY	CA	CALIFORNIA	93654	5596382929	CALIFORNIA							Limited Partnership		withinFiveYears	2022
0001873986-22-000001	YES	101	0001617282	NEUBERGER BERMAN RISK PARITY FUND LTD.	C/O MAPLES CORPORATE SERVICES LIMITED	UGLAND HOUSE, PO BOX 309	GRAND CAYMAN	E9	CAYMAN ISLANDS	KY1-1104	(345) 949-8066	CAYMAN ISLANDS				NEUBERGER BERMAN DYNAMIC BETA NAVIGATOR FUND LTD.			Other	Cayman Islands exempted company	overFiveYears	
0000947871-22-001035	YES	101	0001721169	TRG Emerging Frontier Equities Fund, L.P.	C/O THE ROHATYN GROUP	65 EAST 55TH STREET, 15TH FLOOR	NEW YORK	NY	NEW YORK	10022	212-984-2900	DELAWARE							Limited Partnership		withinFiveYears	2017
0001948976-22-000001	YES	101	0001948976	Norte Ventures I, LP	C/O NORTE VENTURES I GP, LLC	AVENIDA REBOUCAS, 1585, ROOM 2.3	SAO PAULO-SP	D5	BRAZIL	05401-200	55 11 41183019	DELAWARE	Norte Ventures LLC						Limited Partnership		withinFiveYears	2020
0001892013-22-000001	YES	101	0001892013	4Sight Labs Inc.	633 Alvarado St		San Francisco	CA	CALIFORNIA	94114	415-577-5600	DELAWARE							Corporation		withinFiveYears	2020
0001789564-22-000002	YES	101	0001767675	SRP Ventures 2019, LP	3811 TURTLE CREEK BLVD, SUITE 1100		DALLAS	TX	TEXAS	75219	(972) 850-7474	DELAWARE							Limited Partnership		withinFiveYears	2019
0001774406-22-000003	YES	101	0001774406	Caddis Co.	150 West Commonwealth Avenue		Salt Lake City	UT	UTAH	84115	415-276-6500	DELAWARE	Codburn Optical Co. Inc.						Corporation		overFiveYears	
0001949126-22-000001	YES	101	0001949126	Everclean Group LLC	818 W. NORTHWEST HIGHWAY		ARLINGTON HEIGHTS	IL	ILLINOIS	60004	847-833-7058	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001567619-22-017973	YES	101	0001941409	KB Grove at Mankato, DST	1645 VILLAGE CENTER CIRCLE	SUITE 200	LAS VEGAS	NV	NEVADA	89134	702-454-9000	DELAWARE							Other	Delaware Statutory Trust	withinFiveYears	2022
0001591412-22-000002	YES	101	0001591412	backstitch Inc.	1627 Main Street	#1200	KANSAS CITY	MO	MISSOURI	64108	(888) 601-0265	DELAWARE				backstitch, Inc.	Backstitch, Inc.		Corporation		overFiveYears	
0001949120-22-000001	YES	101	0001949120	SC Mountain View JV LLC	C/O STANDIFER CAPITAL LLC	8300 NW 123RD WAY	PARKLAND	FL	FLORIDA	33076	(213) 373-5228	DELAWARE							Limited Liability Company		withinFiveYears	2022
0001940409-22-000003	YES	101	0001940409	PSC HERO COINVEST, LP	2884 SAND HILL ROAD, SUITE 100		MENLO PARK	CA	CALIFORNIA	94025	(650) 677-8100	DELAWARE							Limited Partnership		withinFiveYears	2022
0001944867-22-000002	YES	101	0001944867	ALT Fund I, a series of Unpopular VC, LP	119 South Main Street	Suite 220	Seattle	WA	WASHINGTON	98104	3603409337	DELAWARE	None						Limited Partnership		withinFiveYears	2022
