ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0001942032-22-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false	true				true					false		0		Indefinite	0	Indefinite		false		0	0		0		Placement agent fees will be paid pursuant to a fee schedule based upon sales of interests to certain investors, and are disclosed in the Issuer's confidential offering materials.	0	true	The general partner is entitled to a performance allocation. The investment manager is entitled to a management fee. The performance allocation and management fee are fully discussed in the Issuer's confidential offering materials.	false
0001944073-22-000001	Other			Decline to Disclose		06b	false		2022-09-15		false		true						true	Convertible Promissory Notes	false		25000		300000	30000	270000		false		2	0		0			10000	true		false
0001946549-22-000001	Other			Decline to Disclose		06b	false		2022-09-22		false	true									false		1000		231500	231500	0		false		19	0		0			0	true		false
0001948983-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-23		false					true					false		25000		550000	550000	0		false		5	0		0			25000		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001636220-22-000001	Other Technology			Decline to Disclose		06b	false		2022-09-16		false	true		true					true	Class A-3 Preferred Stock and Conversion of Notes	false		0		10867376	8392431	2474945	Conversion of principal and interest on notes totaling $8,367,376 and cash investment of $25,055.	false		65	0		0			0			false
0000919574-22-005740	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0000919574-21-006028	2021-10-01		true	true				true					false		0		3500000000	412450000	3087550000		true		14	0	true	0	true		0	true	The Investment Manager receives customary management fees.	false
0001755755-22-000005	REITS and Finance			Decline to Disclose		06b	true	0001755755-21-000017	2019-04-19		true	true		true	true						false		0		Indefinite	21994265	Indefinite	Securities granted pursuant to the long term incentive plan of VineBrook Homes Trust, Inc.	false		15	0		0			0			false
0001878726-22-000004	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C.1	true	0001878726-22-000003	2021-11-16		false					true					false		50000		1055000	1055000	0		false		14	0		0			20500		This amount represents a one-time cost to cover fund organizational and operating expenses.	
0001755755-22-000004	REITS and Finance			Decline to Disclose		06b	true	0001755755-21-000016	2018-12-31		true	true		true							false		0		Indefinite	10895273	Indefinite	Issuances under a distribution reinvestment plan through which distributions to participants are reinvested in the issuer.	false		25	0		0			0			false
0001946315-22-000003	Other			Decline to Disclose		06c	false		2022-09-16		true	true									false		0		2000000	99999	1900001		false		1	0		200000	true	This is maximum Finders Fee, contingent on certain conditions, equal to (a) cash fee of 7.5% of aggregate value of shares sold to certain investors plus (b) shares equal to 2.5% of number of shares issued to certain investors	0	true	Gross proceeds are to be used for general operating capital, which may include future expense reimbursement to directors and/or employment compensation and expense reimbursements to executive officers, in each case in amounts yet to be determined.	false
0001932107-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C.1	false		2022-09-29		false					true					false		200000		750000	750000	0		false		5	0		0			15000		This amount represents a one-time cost to cover fund organizational and operating expenses.	
0001755755-22-000003	REITS and Finance			Decline to Disclose		06b	true	0001755755-21-000015	2018-11-01		true	true		true							false		0		Indefinite	966010038	Indefinite		false		31	0		0			0			false
0001946407-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C.1	false		2022-09-16		false					true					false		50000		2041200	2041200	0		false		16	0		0			15000		This amount represents a one-time cost to cover fund organizational and operating expenses.	
0001755755-22-000002	REITS and Finance			Decline to Disclose		06b	true	0001755755-21-000013	2019-12-10		true	true		true	true						false		0		Indefinite	24766531	Indefinite	Securities granted pursuant to the long term incentive plan of VineBrook Homes Trust, Inc.	false		22	0		0			0			false
0001755755-22-000001	REITS and Finance			Decline to Disclose		06b	true	0001755755-21-000014	2018-12-31		true	true			true						false		0		Indefinite	40151408	Indefinite	Issuances under a distribution reinvestment plan through which distributions to participants are reinvested in the issuer.	false		4388	0		0			0	true		false
0001635434-22-000003	Other			Decline to Disclose		06b	false		2022-09-15		false	true									false		0		7100637	7100637	0		false		4	0		0			0			false
0001948988-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-26		false					true					false		10000		5000000	2254000	2746000		false		17	0		0			0		The manager of the general partner of the Issuer will receive a portion of a management fee as specified in the Issuer's partnership agreement.	false
0001013594-22-000619	Investing			Decline to Disclose		06b, 3C, 3C.7	false			true	false	true									false		0		Indefinite	0	Indefinite		false		0	0		0			0			false
0001905940-22-000002	Other			Decline to Disclose		06b	false		2022-08-31		false	true									false		22500		1200000	600000	600000		false		10	0		0			350000	true	Approximately $350,000 of the proceeds of the offering may be used by the Issuer to pay companies owned by certain promoters to develop service platform of the Issuer in the next 12 months.	false
0001949197-22-000001	Investing			Decline to Disclose		06b	false		2022-09-26		false	true									false		0		570000	570000	0		false		11	0		0			0			false
0001885305-22-000001	Pooled Investment Fund	Private Equity Fund	false	Not Applicable		06b, 3C, 3C.7	true	0001885305-21-000001	2021-10-01		true					true					false		0		Indefinite	3337153750	Indefinite	Includes amounts in respect of the Issuer's parallel entity.	false		134	838500	true	0	true	Placement Agent Fees are based on a fee schedule as a percentage of equity commitments to the Issuer and its parallel entity.	0	true	"The General Partner is entitled to a priority profit share (""PPS""). An affiliate of the General Partner is entitled to a performance allocation (""PA""). The PPS and PA are fully disclosed in the Issuer's confidential offering materials."	false
0001635420-22-000003	Other			Decline to Disclose		06b	false		2022-09-15		false	true									false		0		137905363	137905363	0		false		4	0		0			0			false
0001898603-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0001898603-22-000001	2022-01-12		false					true					false		0		143180300	143180300	0		false		111	0		0			0		The Management Company of the Issuer is entitled to a management fee payable by the Issuer.	false
0001885306-22-000001	Pooled Investment Fund	Private Equity Fund	false	Not Applicable		06b, 3C, 3C.7	true	0001885306-21-000001	2021-10-01		true					true					false		0		Indefinite	1195228750	Indefinite		false		70	772500	true	0	true	Placement Agent Fees are based on a fee schedule as a percentage of equity commitments to the Issuer and its parallel entity.	0	true	"The General Partner is entitled to a priority profit share (""PPS""). An affiliate of the General Partner is entitled to a performance allocation (""PA""). The PPS and PA are fully disclosed in the Issuer's confidential offering materials."	false
0001946886-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0	true	THE ISSUER'S GENERAL PARTNER, OR AN AFFILIATE OF THE ISSUER'S GENERAL PARTNER, MAY BE ENTITLED TO RECEIVE A MANAGEMENT FEE IN ACCORDANCE WITH THE ISSUER'S GOVERNING DOCUMENTATION, AS AMENDED FROM TIME TO TIME	false
0001949188-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-29		false					true					false		10000		150000	150000	0		false		3	0		0			0			false
0001750227-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001750227-21-000001	2018-08-01		true	true				true					false		0		Indefinite	92498903	Indefinite		false		33	0		0			0			false
0001898609-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	true	0001898609-22-000001	2022-01-12		false					true					false		0		85963450	85963450	0		false		90	0		0			0		The Management Company of the Issuer is entitled to a management fee payable by the Issuer.	false
0001941234-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Not Applicable		06b, 3C, 3C.7	false		2022-09-16		false					true					false		0		105000000	100995000	4005000		false		70	0		0			0			false
0001627589-22-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001627589-21-000001	2014-12-03		true	true				true					false		0		Indefinite	202676326	Indefinite		false		100	0		0			0			false
0001907654-22-000002	Other Technology			Decline to Disclose		06b	true	0001907654-22-000001	2022-01-21		false	true									false		0		9999998	9999998	0		false		3	0		0			0			false
0000919574-22-005738	Other Technology			Decline to Disclose		06b	false		2021-12-03		false								true	Series A Preferred Stock, par value $0.01 per share	false		500000		21400000	21400000	0	Total offering amount and total amount sold includes the conversion of outstanding convertible securities.	false		8	0	true	0	true		0	true		false
0001919411-22-000001	Oil and Gas			Not Applicable		06c	true	0001919408-22-000002		true	false								true	Joint Venture Partnership	false		25000		2000000	0	2000000		false		0	0		0			0			false
0001919595-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Not Applicable		06b, 3C, 3C.1	false			true	false					true					false		0		20000000	0	20000000		false		0	0		0			0			false
0000919574-22-005736	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	false			true	true	true				true					false		0		Indefinite	0	Indefinite		false		0	0	true	0	true		0	true	The Investment Manager receives customary management fees.	false
0000902664-22-004405	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000902664-21-004387	2005-10-01		true	true				true					false		100000		Indefinite	1916774276	Indefinite		false		813	7592800	true	0			0		The fund charges a management fee that is described in the fund's offering documents.	false
0001949185-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-28		false					true					false		1000		164500	164500	0		false		28	0		0			5770		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0000902664-22-004404	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000902664-21-004388	2005-10-01		true	true				true					false		100000		Indefinite	382369928	Indefinite		false		196	2526412		0			0		The fund charges a management fee that is described in the fund's offering documents.	false
0001945652-22-000001	Residential			$1,000,001 - $5,000,000		04, 06b	false		2022-09-15		false	true									false		50000		1500000	750000	750000		false		3	0		0			0			false
0001873206-22-000002	Other Technology			Decline to Disclose		06b	false		2022-09-15		false	true									false		0		9499998	2000000	7499998		false		7	0		0			0	true		false
0001949186-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-28		false					true					false		1000		86493	86493	0		false		23	0		0			4000		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001947556-22-000001	Commercial			No Revenues		06b	false		2022-09-15		false	true									false		5000		2350000	1362500	987500		false		40	0		0			0			false
0001948970-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2022-09-15		true	true				true					false		10000		Indefinite	840000	Indefinite		false		7	0		0			0			false
0000945621-22-000330	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000945621-21-000390	2010-01-01		true					true					false		100000		Indefinite	355155319	Indefinite	This is a continuous offering.	false		481	13639807	true	0			0			false
0001943616-22-000001	Commercial			No Revenues		06c	false		2022-09-15		false	true									false		50000		5000000	750000	4250000		false		7	0		0			695000		pre-construction syndication and development fees	false
0000945621-22-000329	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000945621-21-000391	2010-01-01		true					true					false		100000		Indefinite	673473598	Indefinite	This is a continuous offering.	false		265	5731969	true	0			0			false
0001948465-22-000001	Commercial			Decline to Disclose		06b, 3C, 3C.1	false			true	true	true									false		25000		20000000	0	20000000		false		0	0		0			0			false
0001785056-22-000002	Other Technology			Decline to Disclose		06b	false		2022-03-10		false	true									false		0		40913487	38657467	2256020		false		40	0		0			0			false
0001567619-22-017981	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C.7	true	0001567619-22-014123	2021-12-15		false					true			true	Limited Liability Company Interests.  The minimum capital commitment of $250,000 may be reduced by the Managing Member in its sole discretion.	false		0		350000000	2750000	347250000	The total offering amount is for the Issuer and its affiliated funds, Equity Resource Fund A 2022 LLC and Equity Resource Fund B 2022 LLC.  The amount sold and the number of investors in this Form D pertain only to the Issuer.	false		4	0	true	0		Persons named in Item 12 will be paid commissions on those investors that they have introduced to the Issuer.  The total amount of such payments cannot be estimated at this time.	0			false
0001785056-22-000001	Other Technology			Decline to Disclose		06b	true	0001785056-21-000001	2021-07-23		false	true									false		0		69851224	69851224	0		false		108	0		0			0			false
0001567619-22-017979	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C.7	true	0001567619-21-022615	2021-12-15		false					true			true	Limited Liability Company Interests,  The minimum capital commitment of $250,000 may be reduced by the Managing Member in its sole discretion.	false		0		350000000	49225000	300775000	The total offering amount is for the Issuer and its affiliated funds, Equity Resource Fund A 2022 LLC and Equity Resource Fund C 2022 LLC.  The amount sold and the number of investors in this Form D pertain only to the Issuer.	false		18	0		0			0			false
0001758651-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06c	true	0001758651-21-000001	2018-10-26		true					true					false		0		Indefinite	719990866	Indefinite		false		59	0		0			0			false
0001925363-22-000001	Pooled Investment Fund	Private Equity Fund	false	No Revenues		06c	true	0001924765-22-000002		true	false					true					false		5000		2000000	0	2000000		false		0	0	true	0			0			false
0001131255-22-000001	Other			Decline to Disclose		06b	true	0001131255-20-000001	2012-05-23		true	true		true	true						false		0		Indefinite	85003258	Indefinite	Total Offering/Total Remaining-17,350,000 shares common stock reserved under 2012 stock option plan for issuance to officers/directors/employees/consultants; exercise price varies by grant.  Total Sold-based on options issued to date at applicable prices	false		422	0		0			0			false
0001567619-22-017977	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C.7	true	0001567619-22-014121	2021-12-15		false					true			true	Limited Liability Company Interests.  The minimum capital commitment of $250,000 may be reduced by the Managing Member in its sole discretion.	false		0		350000000	298025000	51975000	The total offering amount is for the Issuer and its affiliated funds, Equity Resource Fund B 2022 LLC and Equity Resource Fund C 2022 LLC.  The amount sold and the number of investors in this Form D pertain only to the Issuer.	false		255	0	true	0		Persons named in Item 12 will be paid commissions on those investors that they have introduced to the Issuer.  The total amount of such payments cannot be estimated at this time.	0			false
0001873986-22-000002	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.1	false			true	false	true				true					false		0		Indefinite	0	Indefinite		true	0	0	0	true	0	true		0	true		false
0001947290-22-000001	Other Technology			Decline to Disclose		06b	false		2022-09-08		false								true	Simple Agreement for Future Equity	false		0		425000	425000	0		false		12	0		0			0			false
0001949045-22-000001	Commercial			Decline to Disclose		06b	false			true	false	true									false		25000		2100000	0	2100000		true	0	0	0		0			0			false
0001921728-22-000002	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false	true				true					false		0		Indefinite	0	Indefinite		false		0	0	true	0	true	Placement agent fees to be paid based upon a fee schedule.  Such fees are offset dollar-for-dollar against the management fees payable by the Issuer.	0	true	The general partner is entitled to a performance allocation. The investment manager is entitled to a management fee. The performance allocation and management fee are fully discussed in the Issuer's confidential offering materials.	false
0001813406-22-000012	Investing			Decline to Disclose		06b	false		2022-09-28		false	true									false		25000		700000	700000	0		false		13	0		0			0			false
0001567619-22-017975	Other Technology			Decline to Disclose		06b	false		2022-09-20		true	true		true	true				true	Unit offering; each Unit comprised of one common share and one common share purchase warrant, each whole warrant exercisable at C$1.36 for 48 months, subject to acceleration.	false		0		9030	3934	5096	Total amount remaining to be sold represents maximum potential exercise price of warrants.  CAD$1.3345=USD$1.00	false		1	0		0			0			false
0001778548-22-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.1	true	0001778548-21-000001	2019-07-01		true	true				true					false		100000		Indefinite	15811000	Indefinite		false		14	0		0			8000	true	Annual Director's Fee. In addition, the investment manager, Quinn Opportunity Partners LLC, which is principally owned by Mr. Quinn, is entitled to receive an annual management fee of 1.5% of the Issuer's net asset value.	false
0001948189-22-000001	Other Technology			Decline to Disclose		06b	false		2022-09-15		false	true									false		0		4000000	4000000	0	Amount remaining to be sold is $0.00.	false		2	0		0			0			false
0001944339-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-08-24		false					true					false		988		84030	84030	0		false		36	0		0			4000		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001948938-22-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false		2022-09-19		false					true					false		251878		308283487	308283487	0	Amounts reported above are converted from EUR to USD at a rate of 1.0025 on 9/19/2022 and reflect amounts offered and sold to US persons only.	false		29	147836	true	0	true	As converted from EUR to USD at a rate of 1.0025 on 9/19/2022.	0	true	The manager of the issuer will receive a fee for management services. The fee will equal a percentage of the acquisition costs of unrealized investments.	false
0001666726-22-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001666726-20-000001	2016-02-01		true					true					false		1000000		Indefinite	23444681	Indefinite		false		5	71453	true	0			0			false
0001948997-22-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C.1	false		2022-09-26		false					true					false		1000		83796	83796	0		false		37	0		0			8380		This amount represents a one-time fixed cost to cover fund organizational and operating expenses, including all regulatory filing fees, for the life of the fund.	false
0001827097-22-000003	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 4a5, 3C, 3C.7	true	0001790325-21-000001	2019-07-30		true	true				true					false		0		Indefinite	45595000	Indefinite		false		115	0	true	0	true		0	true	The Investment Manager is paid customary management fees.	false
0001827097-22-000002	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001826964-21-000002	2020-10-01		true	true				true					false		0		Indefinite	27175000	Indefinite		false		82	0	true	0	true		0	true	The Investment Manger is paid customary management fees.	false
0001827097-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001827097-21-000002	2020-10-01		true	true				true					false		0		Indefinite	7510000	Indefinite		false		22	0	true	0	true		0	true	The Investment Manger is paid customary management fees.	false
0001860227-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0001860227-21-000001	2021-04-23		true					true					false		10000000		Indefinite	199850000	Indefinite	Total Amount Sold does not include commitment from the General Partner.	false		20	0		0			0			false
0001945026-22-000004	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2022-09-16		false					true					false		22500		3300000	247500	3052500		false		4	0		0			45454		Amount represents a one-time fixed cost to cover fund organizational and operating expenses for the life of the fund. The manager of the GP of the GP of the Issuer will also receive a portion of a management fee as specified in the Issuer's LPA.	false
0001944462-22-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06b, 3C, 3C.1	false		2022-09-15		false	true				true					false		0		7015000	150000	6865000		false		3	0		0			0			false
0001949066-22-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		25000000	0	25000000		false		0	0	true	0	true		0		The General Partner of the Issuer (or its designee) is entitled to the payment of a management fee payable by the Issuer.	false
0001525853-22-000001	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.1	true	0001525853-21-000001	2011-07-21		true					true					false		100000		Indefinite	11851280	Indefinite		false		37	0		0			0			false
